,Categoría,Marca,Nombre,Precio
0,Smartphone/Móviles,Huawei,Huawei Mate 20 Lite 4/64GB Azul Libre,199
1,Smartphone/Móviles,Realme,Realme X2 8/128GB Pearl Blue Libre,299
2,Smartphone/Móviles,Realme,Realme 5 Pro 4/128GB Sparkling Blue Libre,199
3,Smartphone/Móviles,Realme,Realme X2 8/128GB Pearl White Libre,299
4,Smartphone/Móviles,Realme,Realme 5 Pro 4/128GB Crystal Green Libre,199
5,Smartphone/Móviles,Huawei,Huawei Mate 20 Lite 4/64GB Negro Libre,199
6,Smartphone/Móviles,Samsung,Samsung Galaxy A40 4/64GB Negro Libre,219
7,Smartphone/Móviles,Cubot,Cubot King Kong 2GB/16GB Dual Sim Negro Libre,109
8,Smartphone/Móviles,Huawei,Huawei P30 Lite 4/128GB Azul Libre,300.33
9,Smartphone/Móviles,Apple,Apple iPhone 11 64GB Negro Libre,809
10,Smartphone/Móviles,Huawei,Huawei P30 Lite 4/128GB Negro Libre,296.58
11,Smartphone/Móviles,Realme,Realme X2 Pro 8/128GB Neptune Blue Libre,449
12,Smartphone/Móviles,Samsung,Samsung Galaxy A50 4/128GB Negro Libre,289
13,Smartphone/Móviles,Samsung,Samsung Galaxy M20 4/64GB Ocean Blue Libre,209
14,Smartphone/Móviles,Apple,Apple iPhone 11 128GB (Product) Red Libre,859
15,Smartphone/Móviles,Alcatel,Alcatel 1 2019 1/8GB Bluish Black Libre,49.01
16,Smartphone/Móviles,Alcatel,Alcatel 1S 3/32GB Dual Sim Negro Libre,89
17,Smartphone/Móviles,ZTE,ZTE Blade L8 16GB Negro Libre,59
18,Smartphone/Móviles,Alcatel,Alcatel 1 2019 1/8GB Negro Volcán Libre,49.01
19,Smartphone/Móviles,Huawei,Huawei Y5 2019 2/16GB Dual Sim Sapphire Blue Libre,99
20,Smartphone/Móviles,Samsung,Samsung Galaxy A40 4/64GB Azul Libre,219
21,Smartphone/Móviles,Samsung,Samsung Galaxy A10 2/32GB Negro Libre Versión Importada EU,154.1
22,Smartphone/Móviles,Realme,Realme X2 Pro 8/128GB Lunar White Libre,449
23,Portátiles,MSI,"MSI GF63 Thin 9SC-047XES Intel Corei7-9750H/16GB/512GB SSD/GTX 1650/15.6""",898
24,Portátiles,Lenovo,"Lenovo Ideapad 330 Intel Core i7-8550U/8GB/256GB SSD/15.6""",535
25,Portátiles,Asus,"Asus TUF Gaming FX504GD-EN1354 Intel Core i7-8750H/8GB/256GB SSD/GTX 1050/15.6""",699
26,Portátiles,Lenovo,"Lenovo Ideapad 330-15IKB Intel Core i3-7020U/8GB/256GB SSD/15.6""",379
27,Portátiles,Asus,"Asus TUF Gaming FX505GT-BQ024 Intel Core i7-9750H/16GB/1TB+256GB SSD/GTX 1650/15.6""",898
28,Portátiles,Lenovo,"Lenovo Ideapad 330 Intel Core i7-8750H/16GB/1TB+256 SSD/GTX 1050/15.6""",898
29,Portátiles,MSI,"MSI GF75 Thin 9SC-061XES Intel Core i7-9750H/16GB/1TB+512SSD/GTX1650/17.3""",1099.01
30,Portátiles,MSI,"MSI GL75 9SEK-074XES Intel Core i7-9750H/16GB/1TB SSD/RTX 2060/17.3""",1399
31,Portátiles,Lenovo,"Lenovo V130-15IKB Intel Core i5-7200U/8GB/256 GB SSD/15.6""",439
32,Portátiles,Lenovo,"Lenovo Ideapad 330-15ICH Intel Core i7-8750H/8 GB/1TB/GTX1050/15.6""",699
33,Portátiles,Asus,"Asus VivoBook S512DA-BR097 AMD Ryzen R5 3500U/8GB/256GB SSD/15.6""",549
34,Portátiles,HP,"HP Pavilion 15-BC523NS Intel Core i5-9300H/16GB/512GB SSD/GTX 1050/15.6""",689
35,Portátiles,HP,"HP Pavilion 15-BC416NS Intel Core i5-8300H/8GB/1TB+128GB SSD/GTX1050/15.6"" Negro",599
